,d1,d2,cluster
3208,28.21443,10.6059,0
3275,30.29699,15.17304,0
3274,30.308490000000003,15.07981,0
3273,30.318179999999998,14.986567,0
3272,30.326079999999997,14.893344,0
3271,30.3322,14.800175,0
3270,30.33652,14.707092999999999,0
3269,30.339059999999996,14.614132999999999,0
3268,30.33983,14.521329000000001,0
3276,30.2837,15.266210000000001,0
3267,26.96493,15.066320000000001,0
3265,30.33607,14.336322000000001,0
3264,30.331559999999996,14.244187,0
3263,30.325309999999998,14.152342,0
3262,30.317320000000002,14.0608196,0
3261,30.3076,13.969652400000001,0
3030,23.533160000000002,15.94454,0
3260,30.29618,13.878873,0
3259,30.28305,13.788513,0
3266,30.338829999999998,14.428714000000001,0
3277,30.2686,15.3593,0
3029,23.57709,15.97365,0
3278,26.952579999999998,15.10015,0
3297,29.690009999999997,16.98028,0
3296,29.73716,16.89473,0
3295,29.782590000000003,16.80847,0
3294,29.826290000000004,16.72152,0
3293,29.868240000000004,16.63393,0
3292,29.90843,16.54573,0
3291,29.946859999999997,16.45694,0
3290,29.98353,16.367620000000002,0
3289,26.939490000000003,15.13388,0
3288,30.01841,16.27779,0
3287,30.05152,16.187479999999997,0
3286,30.08284,16.09674,0
3285,30.11236,16.0056,0
3284,30.14009,15.91409,0
3283,30.16602,15.82225,0
3282,30.190140000000003,15.73011,0
3281,30.21247,15.63771,0
3280,30.232979999999998,15.545079999999999,0
3279,30.251690000000004,15.45227,0
3258,30.26823,13.698606,0
3298,29.641140000000004,17.065070000000002,0
3257,30.25173,13.609181,0
3032,23.446579999999997,15.88347,0
3240,29.812990000000003,12.34625,0
3239,29.77177,12.26857,0
3040,23.1593,15.640310000000001,0
3238,29.72917,12.19185,0
3237,29.685209999999998,12.11613,0
3041,23.120520000000003,15.601939999999999,0
3042,23.08237,15.56269,0
3236,29.6399,12.04142,0
3241,29.8528,12.42487,0
3235,29.59328,11.96774,0
3233,29.545370000000002,11.89512,0
3043,23.04486,15.522570000000002,0
3232,29.49618,11.82359,0
