,d1,d2,cluster
3999,-1.5246,15.255768,0
2993,-2.240901,10.208447,0
2994,6.018342,-2.46883,0
2995,15.747845000000002,16.279419,0
2996,6.028828,18.821151999999998,0
2997,-2.042186,10.747807,0
2998,9.097091,-2.878715,0
2999,-2.170528,10.134473,0
3000,26.9777,14.0,0
3001,27.04487,14.268445000000002,0
3002,24.753020000000003,16.38221,0
3003,24.705157999999997,16.37764,0
3004,24.657211,16.37211,0
3005,24.6092,16.36561,0
3006,24.561142999999998,16.35814,0
3007,24.513060999999997,16.3497,0
3008,24.46497,16.34027,0
3009,24.4169,16.32987,0
3010,24.36886,16.318479999999997,0
3011,24.320870000000003,16.30611,0
2992,14.676960000000001,-1.449539,0
3012,27.049359999999997,14.29981,0
2991,3.371575,17.603001000000003,0
2989,17.853344,14.015823000000001,0
2970,0.774407,0.22821999999999998,0
2971,-2.408652,8.477806,0
2972,14.752692999999999,-1.4754690000000001,0
2973,9.816460000000001,18.802979,0
2974,4.081867,-1.936807,0
2975,3.708874,17.82761,0
2976,10.124928,-2.900919,0
2977,19.13703,4.472257,0
2978,3.4442489999999997,-1.451039,0
2979,4.315094,18.189362,0
2980,4.030257,-1.803651,0
2981,2.636729,-1.106536,0
2982,10.219503999999999,-3.138954,0
2983,-1.0385,12.727795,0
2984,19.289757,5.408105,0
2985,10.067214,18.874306,0
2986,5.932011,-2.528632,0
2987,10.720875,-2.994568,0
2988,-0.6747489999999999,2.062052,0
2990,18.437201,2.7944419999999996,0
3013,24.27296,16.29275,0
3014,24.22514,16.2784,0
3015,24.17744,16.26305,0
3040,23.1593,15.640310000000001,0
3041,23.120520000000003,15.601939999999999,0
3042,23.08237,15.56269,0
3043,23.04486,15.522570000000002,0
3044,23.008020000000002,15.481589999999999,0
3045,27.059009999999997,14.395437,0
3046,22.971870000000003,15.43975,0
3047,22.936410000000002,15.397089999999999,0
3048,22.90168,15.353589999999999,0
3049,22.86768,15.30928,0
3050,22.83445,15.264170000000002,0
3051,22.80199,15.21826,0
3052,22.77032,15.17159,0
3053,22.73947,15.12415,0
3054,22.70945,15.07596,0
3055,22.68027,15.02704,0
3056,27.06093,14.427779999999998,0
3057,22.65196,14.977395000000001,0
3058,22.62453,14.927051,0
3039,23.19868,15.677779999999998,0
3038,23.23865,15.714360000000001,0
3037,23.27918,15.750029999999999,0
3036,23.32026,15.78479,0
3016,24.12987,16.24672,0
3017,24.08246,16.22939,0
3018,24.035220000000002,16.21107,0
3019,23.98818,16.191760000000002,0
3020,23.94136,16.17146,0
3021,23.89477,16.150170000000003,0
3022,23.84845,16.12789,0
3023,27.05322,14.331439000000001,0
3024,23.8024,16.10463,0
2969,17.738429999999997,14.657722,0
3025,23.75666,16.080389999999998,0
3027,23.66615,16.02896,0
3028,23.62143,16.00179,0
3029,23.57709,15.97365,0
3030,23.533160000000002,15.94454,0
3031,23.48965,15.91448,0
3032,23.446579999999997,15.88347,0
3033,23.403979999999997,15.851510000000001,0
3034,27.05643,14.363319,0
3035,23.36187,15.818620000000001,0
3026,23.71123,16.05516,0
2968,-1.955482,6.820816000000001,0
2967,10.148844,19.108954999999998,0
2966,4.692725,-2.41767,0
2900,18.08754,2.416983,0
2901,1.9909029999999999,16.867947,0
2902,15.772611999999999,-0.173604,0
2903,-0.777155,13.800169,0
2904,1.543387,-0.503157,0
2905,19.117673999999997,11.219706,0
2906,5.957396,-2.66756,0
2907,2.67156,16.996189,0
2908,19.099754,3.6482980000000005,0
2909,18.488857,13.040726,0
2910,1.389973,0.01408,0
2911,7.965146000000001,19.09594,0
2912,-1.93546,4.562344,0
2913,-1.8506029999999998,10.772046000000001,0
2914,0.8399340000000001,0.306909,0
2915,3.718115,17.625866000000002,0
2916,-1.0183010000000001,2.680169,0
2917,17.045139000000002,15.104522,0
2918,19.737635,7.667233,0
2899,-0.856901,13.671063,0
2898,-1.9372060000000002,5.102704,0
2897,13.948523000000002,17.666149,0
2896,6.780886,-2.680877,0
2876,-0.194717,1.3183559999999999,0
2877,15.562134,16.505667000000003,0
2878,19.503641000000002,5.997993,0
2879,17.236921,15.289148,0
2880,12.981833,-2.1846240000000003,0
2881,18.381335999999997,13.389021,0
2882,-1.3138290000000001,3.034521,0
2883,10.003772999999999,18.902327,0
2884,19.338949,5.204145,0
2919,-1.9753029999999998,9.341146,0
2885,-1.555767,12.505489,0
2887,19.664438,9.885110000000001,0
2888,9.417886,-2.971796,0
2889,17.011038,15.455544,0
2890,-0.278046,1.385649,0
2891,19.206591,11.278478,0
2892,15.902382000000001,-0.22640100000000002,0
2893,15.470351999999998,16.97126,0
2894,7.956385000000001,-2.90184,0
2895,19.841269,8.982827,0
2886,-1.352484,3.151879,0
3059,22.598000000000003,14.876019,0
2920,19.625891,5.837599,0
2922,16.129139000000002,16.368414,0
2947,1.197352,16.182194,0
2948,-2.395159,7.383539999999999,0
2949,0.288064,14.930603,0
2950,17.015453,15.240623999999999,0
2951,19.949493,8.323478,0
2952,-1.8665880000000001,5.085763,0
2953,1.996487,16.776159,0
2954,7.773381,-3.169834,0
2955,-1.855865,10.114067,0
2956,7.313045,-3.078818,0
2957,0.7355649999999999,15.523532999999999,0
2958,-1.9941369999999998,5.64998,0
2959,-1.89031,10.528305,0
2960,13.954544,-1.602427,0
2961,-2.459706,8.44417,0
2962,8.95921,-2.768002,0
2963,14.608623999999999,17.401014,0
2964,15.392334,-0.51876,0
2965,8.423312,19.17701,0
2946,-0.922573,3.026018,0
2945,18.580267000000003,13.190407,0
2944,17.437069,0.9921270000000001,0
2943,2.579646,17.338767999999998,0
2923,2.969376,17.106823000000002,0
2924,8.030284,-2.7586779999999997,0
2925,7.9017100000000005,18.989101,0
2926,-0.18246700000000002,1.359697,0
2927,18.67215,13.061634,0
2928,18.277893,2.552532,0
2929,19.367828,9.949988000000001,0
2930,19.488977,7.309898,0
2931,-0.156132,14.704007999999998,0
2921,19.519718,9.128685,0
2932,1.285867,-0.083041,0
2934,0.495299,0.491908,0
2935,12.157598,18.576595,0
2936,15.377729,16.853065,0
2937,12.614654,18.391397,0
2938,17.89868,1.624468,0
2939,-0.7898069999999999,13.788135999999998,0
2940,2.016053,-0.490079,0
2941,7.926135,18.96582,0
2942,17.817239999999998,1.386583,0
2933,13.047857,17.953159,0
3060,22.57238,14.824314999999999,0
3061,22.54769,14.771954999999998,0
3062,22.52394,14.718957000000001,0
3181,26.323795,9.97803,0
3182,26.401696,9.98495,0
3183,26.47963,9.99338,0
3184,26.557579999999998,10.00332,0
3185,26.635509999999996,10.01478,0
3186,26.713390000000004,10.02776,0
3187,26.791190000000004,10.04227,0
3188,26.868890000000004,10.0583,0
3189,27.03053,14.828439000000001,0
3190,26.946440000000003,10.07586,0
3191,27.02382,10.09494,0
3192,27.10101,10.11555,0
3193,27.177970000000002,10.13768,0
3194,27.254659999999998,10.16134,0
3195,27.33107,10.18652,0
3196,27.407159999999998,10.21322,0
3197,27.4829,10.241439999999999,0
3198,27.558259999999997,10.27117,0
3199,27.63321,10.30241,0
3180,26.245963,9.97262,0
3179,26.168229,9.96871,0
3178,27.036959999999997,14.794483,0
3177,26.09062,9.9663,0
3157,24.676894,10.19332,0
3158,24.746913,10.169080000000001,0
3159,24.817560999999998,10.14613,0
3160,24.888816000000002,10.12449,0
3161,24.960652,10.10416,0
3162,25.033046,10.08517,0
3163,25.105972,10.06753,0
3164,25.179406,10.05125,0
3165,25.253321,10.03635,0
3200,27.02337,14.862433,0
3166,25.327693,10.02283,0
3168,25.4024947,10.010710000000001,0
3169,25.4777,10.0,0
3170,25.553282199999998,9.99071,0
3171,25.629215,9.98286,0
3172,25.705470000000002,9.97644,0
3173,25.782020000000003,9.97148,0
3174,25.858839,9.96797,0
3175,25.935897,9.96594,0
3176,26.013167000000003,9.96538,0
3167,27.04267,14.760581,0
3156,27.04765,14.726748,0
3201,27.707720000000002,10.33515,0
3203,27.855290000000004,10.40512,0
3228,29.28718,11.54872,0
3229,29.341209999999997,11.61571,0
3230,29.39408,11.683860000000001,0
3231,29.44574,11.753160000000001,0
3232,29.49618,11.82359,0
3233,29.545370000000002,11.89512,0
3234,26.997490000000003,14.964488000000001,0
3235,29.59328,11.96774,0
3236,29.6399,12.04142,0
3237,29.685209999999998,12.11613,0
3238,29.72917,12.19185,0
3239,29.77177,12.26857,0
3240,29.812990000000003,12.34625,0
3241,29.8528,12.42487,0
3242,29.89118,12.5044,0
3243,29.928109999999997,12.58483,0
3244,29.96358,12.66611,0
3245,26.987379999999998,14.998479000000001,0
3246,29.997559999999996,12.74823,0
3227,29.231990000000003,11.48292,0
3226,29.17568,11.418330000000001,0
3225,29.11828,11.35497,0
